Title,Mapped by,Level,Status,Scores,Total Scores,Star Difficulty,Note Count,BPM,PP,Key,Bombs,Walls,Note jump speed,Notes per second,Lights,ID
"The Greatest Showman - The Greatest Show by Hugh Jackman, Keala Settle, Zac Efron, Zendaya","Hugh Jackman, Keala Settle, Zac Efron, Zendaya",Expert,Ranked,"6,028","17,164",1.99,532,158,90.42,,,,,,,968386B284D9775231EE688C4C0BA7241AB4DEC0
"The Greatest Showman - The Greatest Show by Hugh Jackman, Keala Settle, Zac Efron, Zendaya","Hugh Jackman, Keala Settle, Zac Efron, Zendaya",Hard,Ranked,"5,296","17,164",1.36,367,158,61.79,,,,,,,968386B284D9775231EE688C4C0BA7241AB4DEC0
"The Greatest Showman - The Greatest Show by Hugh Jackman, Keala Settle, Zac Efron, Zendaya","Hugh Jackman, Keala Settle, Zac Efron, Zendaya",Normal,Ranked,"3,536","17,164",0.87,207,158,40.05,,,,,,,968386B284D9775231EE688C4C0BA7241AB4DEC0
"The Greatest Showman - The Greatest Show by Hugh Jackman, Keala Settle, Zac Efron, Zendaya","Hugh Jackman, Keala Settle, Zac Efron, Zendaya",Easy,Ranked,"2,304","17,164",0.69,164,158,31.75,,,,,,,968386B284D9775231EE688C4C0BA7241AB4DEC0
Jackscape - Nico Nico Douga Medley by jackscape,jackscape,Expert+,Ranked,"5,472","5,472",3.33,"2,404",360,152.59,,,,,,,D6B9CD678D2C3AA9CE41762A22F24D867329044D
Knife Party Remix - Blood Sugar by Rustic,Rustic,Normal,Ranked,"1,548","13,778",0.68,252,128,31.81,!bsr 8bc,0,0,9,1.084,2170.0,40D956A3CF8AEA0FA87871791E449A8F4874176C
Knife Party Remix - Blood Sugar by Rustic,Rustic,Hard,Ranked,"3,518","13,778",1.14,445,128,53.06,!bsr 8bc,0,17,10,1.914,2170.0,40D956A3CF8AEA0FA87871791E449A8F4874176C
Electric Light Orchestra - Mr. Blue Sky by GreatYazer,GreatYazer,Normal,Ranked,"84,092","338,651",1.46,462,174,67.85,!bsr 570,0,25,10,2.228,816,236173D5BA7DC379D480B9CB5FB6B4FA5ABE77DA
Rednex - Cotton Eyed Joe by Ayewyn,Ayewyn,Easy,Ranked,"8,700","83,595",1.08,182,132,50.42,!bsr 728,0,0,10,1.006,372,CE42EA216F58F72DBAF0F18E99C8B1E636E8C126
Rednex - Cotton Eyed Joe by Ayewyn,Ayewyn,Normal,Ranked,"18,138","83,595",1.41,313,132,65.33,!bsr 728,0,0,10,1.73,372,CE42EA216F58F72DBAF0F18E99C8B1E636E8C126
"Jaroslav Beck, Generdyn - Hyper Drive by Rustic",Rustic,Normal,Ranked,"1,136","9,897",0.64,77,128,29.96,,,,,,,49246D2574CA91C5134D51DE8484581AB44EF07E
"Jaroslav Beck, Generdyn - Hyper Drive by Rustic",Rustic,Expert,Ranked,"6,464","9,897",1.36,172,128,63.17,,,,,,,49246D2574CA91C5134D51DE8484581AB44EF07E
"Jaroslav Beck, Generdyn - Hyper Drive by Rustic",Rustic,Hard,Ranked,"2,297","9,897",0.91,131,128,42.63,,,,,,,49246D2574CA91C5134D51DE8484581AB44EF07E
(Charted by M.Rappold) - BTH 5 - How To Save A Life by The Fray (Gammer Remix),The Fray (Gammer Remix),Expert+,Ranked,"8,673","8,673",3.41,707,179,156.32,!bsr 910,0,3,10,5.719,709,21932091E575643F8A2E641757CE320284A53EB0
Generdyn - Gas Mask by Rustic,Rustic,Hard,Ranked,"1,308","5,912",0.48,79,120,22.50,!bsr 7a6,0,9,10,1.411,405,8B53010B2F6656C5BE03C110724703763CC3CB03
Generdyn - Gas Mask by Rustic,Rustic,Normal,Ranked,"1,094","5,912",0.16,46,120,7.51,!bsr 7a6,0,0,9,0.821,405,8B53010B2F6656C5BE03C110724703763CC3CB03
(Charted by M.Rappold) - BTH 5 - Take Me High by Omegatypez (Kutski & Gammer Remix),Omegatypez (Kutski & Gammer Remix),Expert+,Ranked,"1,864","1,864",2.4,642,170,91.04,!bsr 910,0,3,10,5.719,709,D9D103EC2CBFC1D4CC229A9D118AEA286850039A
30 Seconds to Mars - Dangerous Night by GreatYazer,GreatYazer,Expert,Ranked,"19,141","30,844",1.7,520,132,78.96,!bsr 41b,0,60,10,2.753,463,85A675DA674FB13E576F2AC9B61A5ADC767B060A
30 Seconds to Mars - Dangerous Night by GreatYazer,GreatYazer,Normal,Ranked,"3,725","30,844",0.78,227,132,36.45,!bsr 41b,0,53,10,1.202,463,85A675DA674FB13E576F2AC9B61A5ADC767B060A
30 Seconds to Mars - Dangerous Night by GreatYazer,GreatYazer,Hard,Ranked,"7,978","30,844",1.2,365,132,55.91,!bsr 41b,0,59,10,1.933,463,85A675DA674FB13E576F2AC9B61A5ADC767B060A
Yumi Matsutoya - Haru yo Koi by G3No,G3No,Expert,Ranked,"1,995","1,995",1.81,673,176,79.63,!bsr 6aa,19,26,10,2.608,914,A3B58689284AB91AF4B79E8E9A0BE8C0D35DCC51
Griz x Big Gigantic - Good Times Roll by Awfulnaut,Awfulnaut,Expert+,Ranked,"17,435","43,511",2.74,634,200,125.39,,,,,,,F22061809C798178786CA1B6E61B10CCBCBE8D28
Griz x Big Gigantic - Good Times Roll by Awfulnaut,Awfulnaut,Hard,Ranked,"7,816","43,512",1.88,477,200,85.05,,,,,,,F22061809C798178786CA1B6E61B10CCBCBE8D28
Griz x Big Gigantic - Good Times Roll by Awfulnaut,Awfulnaut,Expert,Ranked,"14,252","43,512",2.25,519,200,103.54,,,,,,,F22061809C798178786CA1B6E61B10CCBCBE8D28
Owl City - When Can I See You Again by Purphoros,Purphoros,Expert+,Ranked,"28,121","54,348",1.86,641,128,86.56,!bsr 57e,0,35,10,3.111,175,FE387C4C7B03326139A5144ED21C4A02774B5DD9
Owl City - When Can I See You Again by Purphoros,Purphoros,Expert,Ranked,"26,227","54,348",1.35,448,128,62.70,!bsr 57e,0,38,10,2.175,173,FE387C4C7B03326139A5144ED21C4A02774B5DD9
Zayde Wolf - Gladiator by Rustic,Rustic,Expert,Ranked,"4,044","6,460",1.56,470,144,72.74,!bsr 5a0,0,6,12,2.587,1720.0,9811E3EAEB31CB5903CCF76D49452299AD24F4A3
(Nichijou OP1) by Hyadain - Hyadain no Kakata Katamoi-C by Todokete,Todokete,Normal,Ranked,"1,449","16,227",1.47,548,180,68.14,!bsr 881,0,0,10,2.416,1860.0,CA8C59E8DD196F841C3934D2BFBFA2CA43AEAD94
(Nichijou OP1) by Hyadain - Hyadain no Kakata Katamoi-C by Todokete,Todokete,Expert+,Ranked,"7,184","16,227",3.33,"1,036",180,150.90,!bsr 881,0,36,10,4.557,1860.0,CA8C59E8DD196F841C3934D2BFBFA2CA43AEAD94
(Nichijou OP1) by Hyadain - Hyadain no Kakata Katamoi-C by Todokete,Todokete,Expert,Ranked,"4,846","16,227",3.2,"1,036",180,144.57,!bsr 881,0,0,10,4.557,1860.0,CA8C59E8DD196F841C3934D2BFBFA2CA43AEAD94
(Charted by M.Rappold) - BTH 4 - SELFIE by The Chainsmokers,The Chainsmokers,Expert+,Ranked,"2,758","2,758",2.53,573,128,116.70,!bsr 7cd,0,15,9.5,4.784,573,B9C0F43ADEF34726CFAF86AEFF9196FB66786760
 - DotA by Basshunter,Basshunter,Normal,Ranked,"28,222","139,854",1.27,412,140,59.46,!bsr 1ef,0,21,10,2.146,1420.0,DC4906A7F76965CDD2B75C72CF470344B698E352
 - DotA by Basshunter,Basshunter,Hard,Ranked,"50,015","139,854",1.77,500,140,82.06,!bsr 1ef,0,23,10,2.604,1420.0,DC4906A7F76965CDD2B75C72CF470344B698E352
Parcels - Tieduprightnow by Ruckus,Ruckus,Normal,Ranked,677,"1,517",1.46,380,102,68.07,!bsr 8dd,0,18,10,2.19,868,BFE26DD52BCFDFA695D07F055889B7A12194855E
Chart By Moriik - Energy Drink by Virtual Riot,Virtual Riot,Normal,Ranked,"1,122","9,081",1.06,189,128,49.44,!bsr 995,0,55,9,1.557,1540.0,F4A7B0335869E42FF6A2FA82D2A527B0E6BC0C73
Chart By Moriik - Energy Drink by Virtual Riot,Virtual Riot,Hard,Ranked,"2,884","9,081",1.72,329,128,79.46,!bsr 995,0,58,10,2.699,1540.0,F4A7B0335869E42FF6A2FA82D2A527B0E6BC0C73
